Kecamatan,Luas Tanam (Ha) - 2022,Banyak Bibit (Kg) - 2022,Banyak Pupuk (Kg) - 2022,Luas Tanam (Ha) - 2023,Banyak Bibit (Kg) - 2023,Banyak Pupuk (Kg) - 2023,Luas Lahan Pertanian (Ha)
Kamal,2.168,54.2,86.72,2.018,50.45,80.72,3.446
Labang,1.332,33.3,53.28,1.415,35.375,56.6,2.95
Kwanyar,1.741,43.525,69.64,1.633,40.825,65.32,4.111
Modung,2.797,69.925,111.88,2.843,71.075,113.72,6.96
Blega,4.397,109.925,175.88,4.297,107.425,171.88,10.841
Konang,3.317,82.925,132.68,2.856,71.4,114.24,6.588
Galis,1.77,44.25,70.8,1.76,44,70.4,10.715
Tanah Merah,4.462,111.55,178.48,4.735,118.375,189.4,5.298
Tragah,2.296,57.4,91.84,2.186,54.65,87.44,2.815
Socah,3.041,76.025,121.64,3.316,82.9,132.64,4.987
Bangkalan,1.8,45,72,2.021,50.525,80.84,2.684
Burneh,7.016,175.4,280.64,7.027,175.675,281.08,5.771
Arosbaya,2.8,70,112,2.893,72.325,115.72,3.535
Geger,4.225,105.625,169,4.459,111.475,178.36,12.106
Kokop,927,23.175,37.08,2.262,56.55,90.48,12.271
Tanjung Bumi,1.604,40.1,64.16,1.404,35.1,56.16,5.632
Sepulu,2.133,53.325,85.32,2.163,54.075,86.52,6.158
Klampis,1.247,31.175,49.88,1.692,42.3,67.68,5.722
